query_norm,query_raw,brand,click_brand,label_id,label_reason,confidence,sample_weight,n_clicks,n_brands,brand_in_query,has_alias,is_category_only,tier,runner_up,weight_margin
стиральная машина узкая midea mf100w70 bs s,Стиральная машина узкая Midea MF100W70BS/S,Midea,Midea,42,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
сплит система кондиционер lg pc09 sqr белый до 25 м инвертор,"Сплит система кондиционер LG PC09SQR ,белый ( до 25 м), инвертор",LG,LG,38,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
philips с триммером,philips с триммером,Philips,Philips,46,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
dyson v15 detect absolute,dyson v15 detect absolute,Dyson,Dyson,20,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
индукционная варочная панель bosch pug611aa5 e 60 см 4 конфорки стеклокерамика черный,"Индукционная варочная панель BOSCH PUG611AA5E, 60 см, 4 конфорки, стеклокерамика, черный",Bosch,Bosch,9,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
samsung a 36,samsung a 36,Samsung,Samsung,52,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
планшет huawei matepad 11 5 s 2026 12 512,планшет huawei matepad 11 5s 2026 12 512,HUAWEI,HUAWEI,26,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
пылесос вертикальный хьсиами,пылесос вертикальный хьсиами,NO_BRAND,Xiaomi,65,category_only,1.0,1.0,1,1,False,False,True,special,,1.0
микрофон петличный dji,микрофон петличный dji,NO_BRAND,DJI,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0
вертикальный пылесос моющий tefal x clean 4 gf5035f0 серый,Вертикальный пылесос моющий Tefal X-Clean 4 GF5035F0  серый,Tefal,Tefal,59,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
xолодильник с морозильником indesit ds 3160 w белый,Холодильник с морозильником   Indesit DS 3160 W белый,Indesit,Indesit,30,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
usb разветвитель,usb разветвитель,NO_BRAND,Baseus,65,category_only,0.6044535820647327,1.0,8,7,False,False,True,special,Hoco,0.48572162844487443
кастрюля taller,кастрюля taller,TalleR,TalleR,57,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
наушники беспроводные,наушники беспроводные,NO_BRAND,Rock,65,category_only,0.11857281619201941,1.0,1379,74,False,False,True,special,HUAWEI,0.008167520884679478
uwant,uwant,UNKNOWN,UWANT,66,ood_brand_surface,1.0,0.9,3,1,True,False,False,special,,1.0
dreame d30 ultra,dreame d30 ultra,Dreame,Dreame,19,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
стол кухонный круглый,стол кухонный круглый,NO_BRAND,Stool Group,65,category_only,1.0,1.0,2,1,False,False,True,special,,1.0
пылесос самсунг vcc4520s36-xev,Пылесос самсунг vcc4520s36-xev,Samsung,Samsung,52,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
чехол для наушников airpods pro,чехол для наушников airpods pro,Apple,Prime Line,2,alias_hint,1.0,1.0,1,1,False,True,False,high,,1.0
bosch кофемолка электрическая tsm6a013 b,Bosch Кофемолка электрическая TSM6A013B,Bosch,Bosch,9,brand_in_query,1.0,1.0,2,1,True,False,False,high,,1.0
холодильник двухкамерный haier,холодильник двухкамерный haier,Haier,Haier,27,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
hotpoint fe9 1231 js blg,Hotpoint FE9 1231 JS BLG,UNKNOWN,Hotpoint,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0
моющий пылесос томас f,моющий пылесос томас f,NO_BRAND,Thomas,65,category_only,1.0,1.0,1,1,False,False,True,special,,1.0
realme с75,Realme С75,realme,realme,63,brand_in_query,1.0,1.0,2,1,True,False,False,high,,1.0
ноутбук huawei matebook d 16 2024 mclf x,Ноутбук HUAWEI MateBook D 16 2024 MCLF-X,HUAWEI,HUAWEI,26,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
смарт-часы samsung galaxy watch8 classic 46 mm,Смарт-часы Samsung Galaxy Watch8 Classic 46mm,Samsung,Samsung,52,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
gx53,gx53,UNKNOWN,Яндекс,66,ambiguous_clicks,0.444743935309973,0.9,5,3,False,False,False,special,Gauss,0.024258760107816732
тв антенна активная комнатная с усилителем,тв антенна активная комнатная с усилителем,UNKNOWN,Rexant,66,ambiguous_clicks,0.43478169821176105,0.9,13,5,False,False,False,special,Denn,0.08505499751974105
mac book air,Mac book air,NO_BRAND,Apple,65,category_only,1.0,1.0,4,1,False,False,True,special,,1.0
philips series 1200 ep1220,Philips Series 1200 (EP1220),Philips,Philips,46,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
чехол для планшета huawei matepad,чехол для планшета huawei matepad,HUAWEI,HUAWEI,26,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
диван comfo,диван comfo,UNKNOWN,COMFO,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0
24 телевизор hi ht-24h01 fb 1366x768 usb hdmi dv3 черный,"24"" Телевизор Hi HT-24H01FB, 1366x768, USB, HDMI, DV3, черный",Hi,Hi,28,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
салфетки для робота-мойщика atvel zorro z4 8 шт.,"Салфетки для робота-мойщика Atvel Zorro Z4, 8 шт.",Atvel,Atvel,4,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
гельгель для стирки wonder lab для стирки,гельГель для стирки WONDER LAB  для стирки,UNKNOWN,WONDER LAB,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0
epson l3151,Epson L3151,UNKNOWN,Epson,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0
haier 50 smart s4,haier 50 smart s4,Haier,Haier,27,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
встроенные холодильники,встроенные холодильники,NO_BRAND,Gorenje,65,category_only,0.3146943134679457,1.0,46,19,False,False,True,special,Haier,0.17542072216143803
телефоны мобильные кнопочные,телефоны мобильные кнопочные,NO_BRAND,BQ,65,category_only,1.0,1.0,1,1,False,False,True,special,,1.0
lg f1296hds3,LG F1296HDS3,LG,LG,38,brand_in_query,1.0,1.0,2,1,True,False,False,high,,1.0
стол садовый глайдер,стол садовый глайдер,NO_BRAND,Фотон,65,category_only,1.0,1.0,1,1,False,False,True,special,,1.0
аккумуляторы,аккумуляторы,NO_BRAND,Mirex,65,category_only,1.0,1.0,1,1,False,False,True,special,,1.0
самсунг s23 ультра 256 гб,самсунг s23 ультра 256 гб,Samsung,Samsung,52,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
блендер kitfort,блендер kitfort,Kitfort,Kitfort,35,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
кондиционер haier as25hpl2 hra coral dc,Кондиционер HAIER AS25HPL2HRA (CORAL DC,Haier,Haier,27,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
xiaomi smart camera c 302,Xiaomi smart camera c 302,Xiaomi,Xiaomi,62,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
стиральная машина aeg,стиральная машина aeg,NO_BRAND,AEG,65,category_only,1.0,1.0,6,1,True,False,True,special,,1.0
haier 12929,haier 12929,Haier,Haier,27,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
гриль электрический,Гриль электрический,NO_BRAND,Zigmund & Shtain,65,category_only,0.5,1.0,2,2,False,False,True,special,STONBERG,0.0
беспроводная акустика bbk bta2010,Беспроводная акустика BBK BTA2010,UNKNOWN,BBK,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0
телевизоры samsung 43,телевизоры samsung 43,Samsung,Samsung,52,alias_hint,0.9966042329789632,0.9966042329789632,50,2,True,True,False,high,SAMSUNG,0.9932084659579264
стиральная машина lg f1296nds1,Стиральная машина LG F1296NDS1,LG,LG,38,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
hisense 65e7 q,Hisense 65E7Q,Hisense,Hisense,29,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
сплит система электролюкс инверторный,сплит система Электролюкс инверторный,NO_BRAND,Electrolux,65,category_only,1.0,1.0,1,1,False,False,True,special,,1.0
процессор intel core i7-14700 k oem,Процессор Intel Core i7-14700K OEM,UNKNOWN,Intel,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0
кофе в зернах carraro prime wattico 1 кг,кофе в зернах carraro prime wattico 1 кг,UNKNOWN,Carraro,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0
пылесос ручной handstick tefal animal x pert 7 60 ty6a75 wo,пылесос ручной handstick tefal animal x pert 7 60 ty6a75wo,Tefal,Tefal,59,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
пылесос ручной handstick samsung bespoke jet complete,Пылесос ручной (handstick) Samsung Bespoke Jet Complete,Samsung,Samsung,52,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
dji action 6,dji action 6,UNKNOWN,DJI,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0
huawei watch kids,huawei watch kids,HUAWEI,HUAWEI,26,alias_hint,1.0,1.0,4,1,True,True,False,high,,1.0
наушники apple airpods 4 mxp63,наушники apple airpods 4 mxp63,Apple,Apple,2,alias_hint,1.0,1.0,2,1,True,True,False,high,,1.0
iphone 15 128 восстановленный,iphone 15 128 восстановленный,Apple,Apple,2,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
вентилятор колонный греющий,вентилятор колонный греющий,NO_BRAND,Brayer,65,category_only,1.0,1.0,1,1,False,False,True,special,,1.0
poco m 8,Poco m 8,Xiaomi,POCO,62,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
компьютерный стул игровой артопедический,компьютерный стул игровой артопедический,NO_BRAND,Cougar,65,category_only,1.0,1.0,1,1,False,False,True,special,,1.0
iqoo z11,Iqoo z11,UNKNOWN,iQOO,66,ood_brand_surface,1.0,0.9,3,1,True,False,False,special,,1.0
восстановленный смартфон tecno,восстановленный смартфон Tecno,NO_BRAND,Tecno,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0
ультразвуковая зубная щетка,ультразвуковая зубная щетка,NO_BRAND,D.Fresh,65,category_only,0.4066675314567389,1.0,5,5,False,False,True,special,ORDO,0.13555584381891297
полуавтоматическая стиральная машина,полуавтоматическая стиральная машина,NO_BRAND,NR,65,category_only,1.0,1.0,1,1,False,False,True,special,,1.0
смартфон техно нова,смартфон техно нова,NO_BRAND,Tecno,65,category_only,1.0,1.0,1,1,False,False,True,special,,1.0
стул-кресло офисный topchairs,Стул-кресло офисный TopChairs,UNKNOWN,TopChairs,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0
машины стиральные канди,машины стиральные канди,NO_BRAND,Candy,65,category_only,1.0,1.0,1,1,False,False,True,special,,1.0
xiaomi redmi 15,xiaomi redmi 15,Xiaomi,Xiaomi,62,alias_hint,1.0,1.0,11,1,True,True,False,high,,1.0
ехол для планшетного компьютера samsung galaxy tab s9 fe,ехол для планшетного компьютера Samsung Galaxy Tab S9 FE,Samsung,Samsung,52,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
apple iphone 17 air,apple iphone 17 air,Apple,Apple,2,alias_hint,1.0,1.0,8,1,True,True,False,high,,1.0
tefal ingenio emotion l896sd04,Tefal Ingenio Emotion L896SD04,Tefal,Tefal,59,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
ноутбук huawei matebook d 16 mclg x i5 16 1 tb dos space gray 30072072,Ноутбук HUAWEI MateBook D 16 MCLG-X i5/16/1TB DOS Space Gray (30072072),HUAWEI,HUAWEI,26,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
утюги с парогенератором rowenta,утюги с парогенератором rowenta,Rowenta,Rowenta,51,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
зарядное устройство apple,зарядное устройство apple,NO_BRAND,Apple,65,category_only,0.992365311287707,1.0,23,2,True,False,True,special,Keephone,0.9847306225754141
iphone 17 e,iphone 17e,Apple,Apple,2,alias_hint,1.0,1.0,44,1,True,True,False,high,,1.0
морозильный шкаф вертикальный индезит,морозильный шкаф вертикальный индезит,NO_BRAND,Indesit,65,category_only,1.0,1.0,1,1,False,False,True,special,,1.0
картридж для принтера canon,картридж для принтера canon,Canon,Canon,13,brand_in_query,0.9487179487179488,0.9487179487179488,2,2,True,False,False,high,T2,0.8974358974358976
внутренний hdd,внутренний hdd,NO_BRAND,Seagate,65,category_only,1.0,1.0,1,1,False,False,True,special,,1.0
iphone 15 розовый,iphone 15 розовый,Apple,Apple,2,alias_hint,1.0,1.0,2,1,True,True,False,high,,1.0
планшет samsung galaxy tab a11 wifi 8 128 gb,Планшет Samsung Galaxy Tab A11 WIFI 8/128GB,Samsung,Samsung,52,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
телефон samsung а 54,телефон samsung а 54,Samsung,Samsung,52,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
huawei matepad pro 12 2,huawei matepad pro 12 2,HUAWEI,HUAWEI,26,alias_hint,1.0,1.0,3,1,True,True,False,high,,1.0
sony xr-65x90 l,Sony XR-65X90L,Sony,Sony,55,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
самсунг смарт тв,Самсунг смарт тв,Samsung,Samsung,52,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
телефон айфон 16 новый,телефон айфон 16 новый,Apple,Apple,2,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
ipad 11 2025 256,ipad 11 2025 256,Apple,Apple,2,alias_hint,1.0,1.0,12,1,True,True,False,high,,1.0
холодильники двухкамерные nofrost узкий,холодильники двухкамерные nofrost узкий,NO_BRAND,Gorenje,65,category_only,1.0,1.0,3,1,False,False,True,special,,1.0
vivo 300,vivo 300,UNKNOWN,VIVO,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0
газонокосилка dreame,газонокосилка dreame,Dreame,Dreame,19,brand_in_query,1.0,1.0,2,1,True,False,False,high,,1.0
встраиваемый электрический духовой шкаф maunfeld,встраиваемый электрический духовой шкаф maunfeld,Maunfeld,Maunfeld,41,brand_in_query,1.0,1.0,3,1,True,False,False,high,,1.0
iphone 16 pro 256 новый,iphone 16 pro 256 новый,Apple,Apple,2,alias_hint,1.0,1.0,2,1,True,True,False,high,,1.0
gorenje nrk6192axl4,GORENJE NRK6192AXL4,Gorenje,Gorenje,23,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
стиральная машинка gorenje с баком,стиральная машинка gorenje с баком,Gorenje,Gorenje,23,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
стиральная машина haier hw50-bp1026 инструкция,стиральная машина haier hw50-bp1026 инструкция,Haier,Haier,27,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
iphone 16 про макс восстановленный,iphone 16 про макс восстановленный,Apple,Apple,2,alias_hint,1.0,1.0,4,1,True,True,False,high,,1.0
холодильники gorenje nrk41814w4 i,холодильники gorenje nrk41814w4i,Gorenje,Gorenje,23,brand_in_query,1.0,1.0,2,1,True,False,False,high,,1.0
macbook air 15 16 512 gb,macbook air 15 16/512GB,Apple,Apple,2,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
tcl x11,tcl x11,TCL,TCL,56,brand_in_query,1.0,1.0,2,1,True,False,False,high,,1.0
кион мтс premium,кион мтс premium,UNKNOWN,КИОН,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0
капельная,капельная,NO_BRAND,Goodhelper,65,category_only,1.0,1.0,1,1,False,False,True,special,,1.0
мфу цветной canon pixma 3430,мфу цветной canon Pixma 3430,Canon,Canon,13,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
вентилятор напольный scarlett,Вентилятор напольный Scarlett,NO_BRAND,Scarlett,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0
стиральная машинка cundi,стиральная машинка Cundi,NO_BRAND,Candy,65,category_only,1.0,1.0,1,1,False,False,True,special,,1.0
карта оплаты apple россия,Карта оплаты apple россия,Apple,Apple,2,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
морозильная камера pozis,морозильная камера pozis,NO_BRAND,Pozis,65,category_only,1.0,1.0,6,1,True,False,True,special,,1.0
стиральная машинка маленькая,стиральная машинка маленькая,NO_BRAND,Optima,65,category_only,0.4382239629330978,1.0,5,5,False,False,True,special,Willmark,0.2191119814665489
вентилятор смарт,вентилятор смарт,NO_BRAND,Mi,65,category_only,1.0,1.0,1,1,False,False,True,special,,1.0
сплит-система tcl,сплит-система tcl,NO_BRAND,TCL,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0
встраиваемая стиральная машина korting,Встраиваемая стиральная машина KORTING,NO_BRAND,Korting,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0
вертикальный беспроводной пылесос haier,вертикальный беспроводной пылесос haier,Haier,Haier,27,alias_hint,1.0,1.0,3,1,True,True,False,high,,1.0
мини вафельница,мини вафельница,NO_BRAND,GFGRIL,65,category_only,1.0,1.0,1,1,False,False,True,special,,1.0
xiaomi power bank,xiaomi power bank,Xiaomi,Xiaomi,62,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
вертикальные dreame r10 s,вертикальные dreame r10s,Dreame,Dreame,19,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
электрический чайник polaris pwk 1753 cgl стеклянный с подсветкой белый-черный,"Электрический чайник Polaris PWK 1753CGL стеклянный, с подсветкой, белый-черный",Polaris,Polaris,48,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
ballu bsep-09hn8,Ballu BSEP-09HN8,Ballu,Ballu,6,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
стиральная машинка hisense узкая,стиральная машинка Hisense узкая,NO_BRAND,Hisense,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0
apple ipad air 2025,Apple iPad Air  2025,Apple,Apple,2,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
philips s5898 35,Philips S5898/35,Philips,Philips,46,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
kugoo m4,kugoo m4,UNKNOWN,Kugoo,66,ood_brand_surface,1.0,0.9,2,1,True,False,False,special,,1.0
карта,Карта,NO_BRAND,Apple,65,category_only,1.0,1.0,1,1,False,False,True,special,,1.0
смартфон tecno spark,смартфон tecno spark,Tecno,Tecno,58,brand_in_query,0.6528444933155854,0.6528444933155854,4,2,True,False,False,medium,TECNO,0.3056889866311708
увлажнитель очиститель воздуха панасоник,увлажнитель очиститель воздуха панасоник,NO_BRAND,Panasonic,65,category_only,1.0,1.0,1,1,False,False,True,special,,1.0
чехол на самсунг гелакси таб,чехол на самсунг гелакси таб,Samsung,DF,52,alias_hint,1.0,1.0,1,1,False,True,False,high,,1.0
фитнес браслеты xiaomi mi band 11,фитнес браслеты xiaomi mi band 11,Xiaomi,Xiaomi,62,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
блок на iphone 40,Блок на iphone 40,Apple,Apple,2,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
комбинированная газовая плита gorenje с электрической духовкой 60,комбинированная газовая плита gorenje с электрической духовкой 60,Gorenje,Gorenje,23,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
стинол 200,стинол 200,UNKNOWN,Стинол,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0
samsung odyssey g5 g50 f,Samsung Odyssey G5 G50F,Samsung,Samsung,52,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
thermex if 50 v pro,thermex if 50 v pro,UNKNOWN,Thermex,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0
телевизор xiaomi 55 mini led,телевизор xiaomi 55 mini led,Xiaomi,Xiaomi,62,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
realme 16 pro 5 g,realme 16 pro 5g,realme,realme,63,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
бюджетный смартфон андроид,Бюджетный Смартфон андроид,NO_BRAND,Infinix,65,category_only,1.0,1.0,1,1,False,False,True,special,,1.0
electrolux индукционная,Electrolux индукционная,Electrolux,Electrolux,21,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
наушники samsung buds4,наушники samsung buds4,Samsung,Samsung,52,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
deppa nrg turbo v3,deppa nrg turbo v3,Deppa,Deppa,18,brand_in_query,1.0,1.0,2,1,True,False,False,high,,1.0
ipad про 11,ipad про 11,Apple,Apple,2,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
вытяжка korting khp 6637 gnx gwx,вытяжка korting KHP 6637 GNX/GWX,UNKNOWN,Korting,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0
холодильники автомобильный,холодильники автомобильный,NO_BRAND,Coolfort,65,category_only,1.0,1.0,1,1,False,False,True,special,,1.0
телевизор смарт тв,телевизор смарт тв,NO_BRAND,Смарт ТВ,65,category_only,0.3471917859447312,1.0,54,19,True,False,True,special,Haier,0.24552030368111327
realme buds 7 pro,realme buds 7 pro,realme,realme,63,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
принтер лазерный цветной canon,принтер лазерный цветной canon,NO_BRAND,Canon,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0
magsafe baseus picogo am41,magsafe baseus picogo am41,Baseus,Baseus,7,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
xiaomi mi band 7,Xiaomi Mi Band 7,Xiaomi,SONDER,62,alias_hint,1.0,1.0,1,1,False,True,False,high,,1.0
встраиваемый холодильник haier hbcn7190u1,Встраиваемый холодильник HAIER HBCN7190U1,Haier,Haier,27,alias_hint,1.0,1.0,2,1,True,True,False,high,,1.0
стул складной,стул складной,UNKNOWN,NOSTRESS,66,ambiguous_clicks,0.36666666666666664,0.9,3,3,False,False,False,special,Stool Group,0.0
стиральная машинка lg 1400,стиральная машинка lg 1400,LG,LG,38,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
стол игровой,стол игровой,NO_BRAND,PROSTO&UYUTNO,65,category_only,1.0,1.0,1,1,False,False,True,special,,1.0
samsung eo ic100,samsung eo ic100,Samsung,Samsung,52,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
ксяоми стандинг фан 3,Ксяоми стандинг фан 3,Xiaomi,Xiaomi,62,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
микроволновка toshiba,микроволновка toshiba,Toshiba,Toshiba,61,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
iphone 14 256 гб,iphone 14 256 гб,Apple,Apple,2,alias_hint,0.5714285714285715,0.5714285714285715,2,2,True,True,False,medium,APPLE,0.14285714285714285
внутренний диск ssd apacer,Внутренний диск SSD Apacer,NO_BRAND,Apacer,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0
встраиваемый электрический духовой шкаф haier hox t08 amtb,Встраиваемый электрический духовой шкаф Haier HOX-T08AMTB,Haier,Haier,27,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
наушники soundcore liberty,Наушники Soundcore liberty,UNKNOWN,Soundcore,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0
samsung galaxy z flip 5,samsung galaxy z flip 5,Samsung,Samsung,52,alias_hint,1.0,1.0,3,1,True,True,False,high,,1.0
samsung galaxy a56 чехол,samsung galaxy a56 чехол,Samsung,Samsung,52,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
