query_norm,query_raw,brand,click_brand,label_id,label_reason,confidence,sample_weight,n_clicks,n_brands,brand_in_query,has_alias,is_category_only,tier,runner_up,weight_margin
телевизор яндекс с алисой 50 4 k,телевизор яндекс с алисой 50 4k,Яндекс,Яндекс,64,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
смартфон apple air,Смартфон Apple Air,NO_BRAND,Apple,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0
hisense classic city 2.0,Hisense classic city 2.0,Hisense,Hisense,29,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
смарт приставки,смарт приставки,NO_BRAND,UniDom,65,category_only,1.0,1.0,1,1,False,False,True,special,,1.0
samsung s26 ultra 256,samsung s26 ultra 256,Samsung,Samsung,52,alias_hint,1.0,1.0,9,1,True,True,False,high,,1.0
электрическая плита gorenje geit5c60 wpg,Электрическая плита Gorenje GEIT5C60WPG,Gorenje,Gorenje,23,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
смартфон tecno pova 6 pro 5 g,Смартфон Tecno Pova 6 Pro 5G,Tecno,Tecno,58,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
baseus metal,baseus metal,Baseus,Baseus,7,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
самсунг а56 фиолетовый,Самсунг а56 фиолетовый,Samsung,Samsung,52,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
lg g5,lg g5,LG,LG,38,brand_in_query,1.0,1.0,3,1,True,False,False,high,,1.0
samsung с 26,samsung с 26,Samsung,Samsung,52,alias_hint,1.0,1.0,11,1,True,True,False,high,,1.0
lg f2y1hs3 w,LG F2Y1HS3W,LG,LG,38,brand_in_query,1.0,1.0,4,1,True,False,False,high,,1.0
haier hrf-541dm7 ru 38 дб,· Haier HRF-541DM7RU (38 дБ),Haier,Haier,27,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
tcl p8 l,tcl p8l,TCL,TCL,56,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
ipad аир 13,ipad аир 13,Apple,Apple,2,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
смартфоны samsung s 23,смартфоны samsung s 23,Samsung,Samsung,52,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
утюги с парогенератором philips,утюги с парогенератором philips,Philips,Philips,46,brand_in_query,1.0,1.0,4,1,True,False,False,high,,1.0
переносная электронная плита,Переносная электронная плита,NO_BRAND,Caso,65,category_only,1.0,1.0,1,1,False,False,True,special,,1.0
sony mdr zx110 ap,Sony MDR-ZX110AP,Sony,Sony,55,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
infinix note 60 i,infinix note 60i,Infinix,Infinix,31,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
телевизор haier 43 smart tv s2 pro,телевизор haier 43 smart tv s2 pro,Haier,Haier,27,alias_hint,1.0,1.0,4,1,True,True,False,high,,1.0
huawei matepad12,Huawei matepad12,HUAWEI,HUAWEI,26,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
ноутбуки apple,ноутбуки apple,Apple,Apple,2,brand_in_query,1.0,1.0,11,1,True,False,False,high,,1.0
смартфон samsung galaxy а 07,смартфон samsung galaxy а 07,Samsung,Samsung,52,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
mesh система huawei mesh,mesh система huawei mesh,HUAWEI,HUAWEI,26,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
тепловентилятор колонный,тепловентилятор колонный,NO_BRAND,Brayer,65,category_only,1.0,1.0,1,1,False,False,True,special,,1.0
морозильная камера наер,морозильная камера наер,NO_BRAND,Haier,65,category_only,1.0,1.0,1,1,False,False,True,special,,1.0
телевизоры lg 55,телевизоры lg 55,LG,LG,38,brand_in_query,1.0,1.0,2,1,True,False,False,high,,1.0
телефона samsung s26 ultra,телефона samsung s26 ultra,Samsung,Samsung,52,alias_hint,1.0,1.0,2,1,True,True,False,high,,1.0
steamone minilys,SteamOne MINILYS,UNKNOWN,SteamOne,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0
huawei watch детские,huawei watch детские,HUAWEI,HUAWEI,26,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
смартфон redmi,смартфон redmi,Xiaomi,Xiaomi Redmi,62,alias_hint,0.7572815533980582,0.7572815533980582,3,2,False,True,False,high,Xiaomi,0.5145631067961165
кабель type baseus,кабель type baseus,Baseus,Baseus,7,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
телефоны мобильные с поддержкой беспроводной зарядки сяоми,телефоны мобильные с поддержкой беспроводной зарядки сяоми,Xiaomi,Xiaomi,62,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
маска dreame,Маска dreame,Dreame,Dreame,19,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
кастрюля чугунная,кастрюля чугунная,NO_BRAND,Камская посуда,65,category_only,0.34313137372525493,1.0,4,4,False,False,True,special,Mayer&Boch,0.06238752249550088
bosch kgn36nl306 двухкамерный холодильник no frost серый металлик,"Bosch KGN36NL306 Двухкамерный холодильник, No frost, серый металлик",Bosch,Bosch,9,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
встраиваемые посудомоечные машины 45 см candy,встраиваемые посудомоечные машины 45см candy,Candy,Candy,12,brand_in_query,1.0,1.0,2,1,True,False,False,high,,1.0
провод на айфон,провод на айфон,Apple,Apple,2,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
пылесос строительный промышленный,пылесос строительный промышленный,NO_BRAND,Oasis,65,category_only,0.6363636363636364,1.0,2,2,False,False,True,special,DENZEL,0.27272727272727276
samsung s25 edge,samsung s25 edge,Samsung,Samsung,52,alias_hint,1.0,1.0,5,1,True,True,False,high,,1.0
ноутбук lenovo legion,ноутбук lenovo legion,UNKNOWN,Lenovo,66,ood_brand_surface,1.0,0.9,2,1,True,True,False,special,,1.0
apple lightning,Apple Lightning,Apple,Apple,2,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
холодильники с нижней морозильной камерой,холодильники с нижней морозильной камерой,UNKNOWN,Grundig,66,ambiguous_clicks,0.3732571375583596,0.9,304,12,False,False,False,special,Indesit,0.004373707074889492
люстра потолочная венецианское стекло,люстра потолочная венецианское стекло,NO_BRAND,Moderli,65,category_only,1.0,1.0,1,1,False,False,True,special,,1.0
овощерезке электрическая,овощерезке электрическая,UNKNOWN,Centek,66,ambiguous_clicks,0.4503784693019344,0.9,12,8,False,False,False,special,LOWENGRASS,0.31791421362489486
cadena сплит система,Cadena сплит система,NO_BRAND,Cadena,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0
samsung smart m9,Samsung Smart M9,Samsung,Samsung,52,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
самсунг галакси а 55,Самсунг галакси А 55,Samsung,Samsung,52,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
ноутбук asus tuf gaming a15,ноутбук asus tuf gaming a15,ASUS,ASUS,0,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
logitech mx master 4,logitech mx master 4,Logitech,Logitech,39,brand_in_query,1.0,1.0,6,1,True,False,False,high,,1.0
телефоны мобильные honor,телефоны мобильные honor,HONOR,HONOR,25,alias_hint,0.9803800457798931,0.9803800457798931,5,2,True,True,False,high,BQ,0.9607600915597864
xолодильник haier cef536 cwg,Холодильник Haier CEF536CWG,Haier,Haier,27,alias_hint,1.0,1.0,4,1,True,True,False,high,,1.0
macbook air 15 1 тб,Macbook air 15 1тб,Apple,Apple,2,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
iphone 17 pro max 512 gb silver,iphone 17 pro max 512gb silver,Apple,Apple,2,alias_hint,1.0,1.0,6,1,True,True,False,high,,1.0
tefal it3470e1,Tefal IT3470E1,Tefal,Tefal,59,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
часы huawei watch fit 3,часы huawei watch fit 3,HUAWEI,HUAWEI,26,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
игровой стул cougar,Игровой стул cougar,NO_BRAND,Cougar,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0
защитное сткло на айфон 17,защитное сткло на айфон 17,Apple,Remax,2,alias_hint,1.0,1.0,1,1,False,True,False,high,,1.0
вентилятор напольный автоимидж,вентилятор напольный автоимидж,NO_BRAND,АвтоИмидж,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0
вытяжки кухонные 60 встраиваемая maunfeld vs fast,вытяжки кухонные 60 встраиваемая maunfeld VS FAST,Maunfeld,Maunfeld,41,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
xiaomi пад,xiaomi пад,Xiaomi,Xiaomi,62,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
смарт часы huawei band 11,смарт часы huawei band 11,HUAWEI,HUAWEI,26,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
казан для огня davr metall чугунный 4 5 л узбекский с крышкой,казан для огня davr metall чугунный 4 5 л узбекский с крышкой,UNKNOWN,Davr Metall,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0
haier 65 m7,haier 65 m7,Haier,Haier,27,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
dreame auraframe,Dreame auraframe,Dreame,Dreame,19,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
хуавей нова 15,хуавей нова 15,HUAWEI,HUAWEI,26,alias_hint,1.0,1.0,2,1,True,True,False,high,,1.0
утюг haier hi 601,утюг haier hi 601,Haier,Haier,27,alias_hint,1.0,1.0,3,1,True,True,False,high,,1.0
плита beko,Плита beko,Beko,Beko,8,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
чехол для планшета самсунг,чехол для планшета самсунг,Samsung,Samsung,52,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
подписка яндекс плюс,подписка яндекс плюс,Яндекс,Яндекс,64,brand_in_query,1.0,1.0,8,1,True,False,False,high,,1.0
redmond фен,Redmond фен,Redmond,Redmond,50,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
стиральная машинка lg f2296 wdso,стиральная машинка lg F2296wdso,LG,LG,38,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
чехол для ipad 10 9,чехол для ipad 10 9,Apple,vlp,2,alias_hint,1.0,1.0,1,1,False,True,False,high,,1.0
флеш-накопитель,флеш-накопитель,NO_BRAND,Netac,65,category_only,1.0,1.0,2,1,False,False,True,special,,1.0
панель samsung brb80f26ces0 eo,панель SAMSUNG BRB80F26CES0EO,Samsung,Samsung,52,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
гриль тефаль,Гриль тефаль,NO_BRAND,Tefal,65,category_only,1.0,1.0,4,1,False,False,True,special,,1.0
микроволновка самсунг,микроволновка самсунг,Samsung,Samsung,52,alias_hint,1.0,1.0,8,1,True,True,False,high,,1.0
сплит-система кондиционер rapid ram-09 hj n1 23 y,Сплит-система кондиционер Rapid RAM-09HJ/N1_23Y,Rapid,Rapid,49,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
чехол samsung a57 5 g,чехол samsung A57 5g,Samsung,Krutoff,52,alias_hint,1.0,1.0,2,1,False,True,False,high,,1.0
lg телевизоры,lg телевизоры,LG,LG,38,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
jbl party box 120,jbl party box 120,JBL,JBL,32,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
iphone 14 256 восстановленный,iphone 14 256 восстановленный,Apple,Apple,2,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
самсунг с25 плюс розовое золото,самсунг с25 плюс  розовое золото,Samsung,Samsung,52,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
душевая кабина niagara,душевая кабина niagara,NO_BRAND,Niagara,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0
redmi pad,Redmi pad,Xiaomi,Xiaomi,62,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
samsung galaxy s 26 ultra,samsung galaxy s 26 ultra,Samsung,Samsung,52,alias_hint,1.0,1.0,24,1,True,True,False,high,,1.0
hisense party rocket,hisense party rocket,Hisense,Hisense,29,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
наушники huawei freeclip 2,наушники huawei freeclip 2,HUAWEI,HUAWEI,26,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
встраиваемые посудомоечные машины 60 см,встраиваемые посудомоечные машины 60см,UNKNOWN,Bosch,66,ambiguous_clicks,0.16097270018674292,0.9,546,44,False,False,False,special,Midea,0.029127178971097168
монитор msi mag 322 upf,Монитор MSI MAG 322UPF,MSI,MSI,40,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
внешний диск ссд,внешний диск ссд,NO_BRAND,ADATA,65,category_only,1.0,1.0,1,1,False,False,True,special,,1.0
смартфоны samsung s22 ultra,смартфоны samsung s22 ultra,Samsung,Samsung,52,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
midea vcs35b180 kh,Midea VCS35B180KH,Midea,Midea,42,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
gorenje плита,gorenje плита,Gorenje,Gorenje,23,brand_in_query,1.0,1.0,3,1,True,False,False,high,,1.0
зарядное xiaomi,зарядное  xiaomi,Xiaomi,Xiaomi,62,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
утюг tefal turbo pro,утюг tefal turbo pro,Tefal,Tefal,59,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
вафельница kitfort кт-5607 серебристый,Вафельница Kitfort КТ-5607 серебристый,Kitfort,Kitfort,35,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
lg f4v9rwp2 e,LG F4V9RWP2E,LG,LG,38,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
телевизор tcl 55 t8 c qled 144 гц 4 k hdr google tv смарт тв 55 дюймов,телевизор tcl 55 t8c qled 144 гц 4k hdr google tv смарт тв 55 дюймов,TCL,TCL,56,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
наушники беспроводные samsung buds core,наушники беспроводные samsung buds core,Samsung,Samsung,52,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
canon g7 x m lll,canon g7x m lll,Canon,Canon,13,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
телевзор яндекс,телевзор яндекс,Яндекс,Яндекс,64,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
зарядка оригинал самсунг,зарядка оригинал самсунг,Samsung,Samsung,52,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
wi fi роутер xiaomi,wi fi роутер xiaomi,Xiaomi,Xiaomi,62,alias_hint,1.0,1.0,8,1,True,True,False,high,,1.0
встраиваемые холодильники большие,встраиваемые холодильники большие,NO_BRAND,MEFERI,65,category_only,1.0,1.0,1,1,False,False,True,special,,1.0
холодильники самсунг полка для бутылков,холодильники самсунг полка для бутылков,Samsung,Samsung,52,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
true wireless jbl wave flex 2,True Wireless JBL Wave Flex 2,JBL,JBL,32,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
фильтр для вытяжки homsair,Фильтр для вытяжки homsair,UNKNOWN,HOMSAir,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0
смарт часы huawei fit 4,смарт часы huawei fit 4,HUAWEI,HUAWEI,26,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
haier телевизор 85 hqled s4 диагональ 85 4 k uhd android tv,"Haier телевизор 85 HQLED S4, диагональ 85"", 4K UHD, Android TV",Haier,Haier,27,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
midea стипальная,midea стипальная,Midea,Midea,42,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
телевизоры hisense 75,телевизоры hisense 75,Hisense,Hisense,29,brand_in_query,1.0,1.0,11,1,True,False,False,high,,1.0
набор сковородок tefal,набор сковородок tefal,NO_BRAND,Tefal,65,category_only,1.0,1.0,2,1,True,False,True,special,,1.0
tcl 55,tcl 55,TCL,TCL,56,brand_in_query,1.0,1.0,13,1,True,False,False,high,,1.0
стиральная машинка haier узкая 14279,стиральная машинка haier узкая 14279,Haier,Haier,27,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
пушка,пушка,NO_BRAND,Ресанта,65,category_only,1.0,1.0,1,1,False,False,True,special,,1.0
пылесос ручной handstick dreame r10 s pro,Пылесос ручной (handstick) Dreame R10S Pro,Dreame,Dreame,19,brand_in_query,1.0,1.0,2,1,True,False,False,high,,1.0
телевизоры tcl 50,телевизоры tcl 50,TCL,TCL,56,brand_in_query,1.0,1.0,2,1,True,False,False,high,,1.0
беспроводные наушники sony wh 1000xm5,беспроводные наушники sony wh 1000xm5,Sony,Sony,55,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
телевизор grundig,телевизор grundig,Grundig,Grundig,24,brand_in_query,1.0,1.0,11,1,True,False,False,high,,1.0
infinix note 40 pro,infinix note 40 pro,Infinix,Infinix,31,brand_in_query,1.0,1.0,5,1,True,False,False,high,,1.0
galaxy tab s10,galaxy tab s10,Samsung,Samsung,52,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
аэрогриль kitfort kt 2248,аэрогриль kitfort kt 2248,Kitfort,Kitfort,35,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
роботы пылесосы dreame d20 pro,роботы пылесосы dreame d20 pro,Dreame,Dreame,19,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
чехол на iphone pitaka на айфон air,чехол на iphone  pitaka на айфон Air,Apple,Pitaka,2,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
экшн камера очки,Экшн камера очки,NO_BRAND,АвтоИмидж,65,category_only,1.0,1.0,1,1,False,False,True,special,,1.0
аккумулятор magsafe rivacase,Аккумулятор magsafe rivacase,UNKNOWN,RIVACASE,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0
свч samsung 23,свч samsung 23,Samsung,Samsung,52,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
насадки kenwood,насадки  kenwood,UNKNOWN,Kenwood,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0
кабель apple usb c lightning,Кабель Apple USB-C Lightning,UNKNOWN,Apple,66,low_conf_with_evidence,0.5150115473441108,0.9,4,2,True,False,False,special,APPLE,0.030023094688221685
tcl 50p8 k,TCL 50P8K,TCL,TCL,56,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
11 планшет samsung galaxy tab a11 wi fi 256 гб серый,"11"" Планшет Samsung Galaxy Tab A11+ Wi-Fi 256 ГБ серый",Samsung,Samsung,52,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
встраиваемая посудомоечная машина gorenje gv663b62,Встраиваемая посудомоечная машина Gorenje GV663B62,Gorenje,Gorenje,23,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
телевизор candy uno pro 55c5 gux,телевизор candy uno pro 55c5gux,Candy,Candy,12,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
зарядка для dualsense,зарядка для dualsense,NO_BRAND,Sony,65,category_only,1.0,1.0,2,1,False,False,True,special,,1.0
игры пс 5,игры пс 5,UNKNOWN,Sony,66,ambiguous_clicks,0.3427265391285287,0.9,6,5,False,False,False,special,Ubisoft,0.03244748299441691
стирально сушильная машина candy nova,СТИРАЛЬНО СУШИЛЬНАЯ МАШИНА CANDY NOVA,Candy,Candy,12,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
телевизоры 40 смарт,телевизоры 40 смарт,UNKNOWN,Hi,66,ambiguous_clicks,0.4651631091421667,0.9,8,5,False,False,False,special,Centek,0.211437776882803
монитор изогнутый,монитор изогнутый,NO_BRAND,Samsung,65,category_only,0.6908841672378341,1.0,6,3,False,False,True,special,HUAWEI,0.4270047978067169
аэрогриль demiand с двумя,аэрогриль demiand с двумя,DEMIAND,DEMIAND,16,brand_in_query,1.0,1.0,14,1,True,False,False,high,,1.0
электрические кофемолкин электрические,электрические кофемолкин электрические,NO_BRAND,Polaris,65,category_only,1.0,1.0,1,1,False,False,True,special,,1.0
ноутбук huawei notebook,ноутбук huawei notebook,HUAWEI,HUAWEI,26,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
портативный аккумулятор magsafe,портативный аккумулятор magsafe,NO_BRAND,Deppa,65,category_only,1.0,1.0,1,1,False,False,True,special,,1.0
смартфон vivo y36,смартфон vivo y36,UNKNOWN,vivo,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0
купить макбук,купить макбук,Apple,Apple,2,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
вертикальный моющий пылесос garlyn,вертикальный моющий пылесос garlyn,NO_BRAND,Garlyn,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0
смарт-часы samsung galaxy watch8 40 mm lte classic,Смарт-часы Samsung Galaxy Watch8 40mm LTE classic,Samsung,Samsung,52,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
thunderobot клавиатура,thunderobot клавиатура,Thunderobot,Thunderobot,60,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
игровые ноутбуки виндус,игровые ноутбуки виндус,NO_BRAND,ASUS,65,category_only,1.0,1.0,1,1,False,False,True,special,,1.0
msi ноутбуки katana 17,MSI ноутбуки Katana 17,MSI,MSI,40,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
scarlett sc ek21s45,scarlett sc-ek21s45,Scarlett,Scarlett,54,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
блендер kitfort стационарный,Блендер kitfort стационарный,Kitfort,Kitfort,35,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
tefal natural cook,Tefal Natural Cook,Tefal,Tefal,59,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
телефон айфон 13 оригинал,телефон айфон 13  оригинал,Apple,APPLE,2,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
беспроводные наушники накладные,беспроводные наушники накладные,NO_BRAND,JBL,65,category_only,1.0,1.0,1,1,False,False,True,special,,1.0
кофемашина автоматическая philips lattego ep5544 50 серый,Кофемашина автоматическая Philips LatteGo EP5544/50 серый,Philips,Philips,46,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
tcl c6,TCL c6,TCL,TCL,56,brand_in_query,1.0,1.0,2,1,True,False,False,high,,1.0
беспроводные наушники huawei freebuds 7 i,беспроводные наушники huawei freebuds 7i,HUAWEI,HUAWEI,26,alias_hint,1.0,1.0,4,1,True,True,False,high,,1.0
шнур для зарядки телефона samsung,шнур для зарядки телефона samsung,Samsung,Samsung,52,alias_hint,1.0,1.0,5,1,True,True,False,high,,1.0
телевизоры toshiba 43,телевизоры toshiba 43,Toshiba,Toshiba,61,alias_hint,1.0,1.0,7,1,True,True,False,high,,1.0
hisense 85u7 s,Hisense 85U7S,Hisense,Hisense,29,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
гироскутер,гироскутер,UNKNOWN,Самобаланс,66,ambiguous_clicks,0.4340011398009732,0.9,19,3,False,False,False,special,iconBIT,0.06895795887948804
блендер braun,блендер braun,Braun,Braun,10,brand_in_query,1.0,1.0,2,1,True,False,False,high,,1.0
электрочайник bosch,электрочайник bosch,Bosch,Bosch,9,brand_in_query,1.0,1.0,7,1,True,False,False,high,,1.0
пылесосы dreame n12,пылесосы dreame n12,Dreame,Dreame,19,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
аэрогриль с двумя,аэрогриль с двумя,UNKNOWN,LOWENGRASS,66,ambiguous_clicks,0.2705019526465719,0.9,21,11,False,False,False,special,Brayer,0.11714651492568073
саундбар tcl a65 k,Саундбар TCL A65K,TCL,TCL,56,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
смартфон samsung galaxy s25 512 gb черный,смартфон samsung galaxy s25 512gb черный,Samsung,Samsung,52,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
samsung a11,samsung a11+,Samsung,Samsung,52,alias_hint,1.0,1.0,4,1,True,True,False,high,,1.0
самсунг eu32f6000fuxru,Самсунг eu32f6000fuxru,Samsung,Samsung,52,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
honor 600 512,honor 600 512,HONOR,HONOR,25,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
